position_error,time
4.380629,20.292124
4.378581,20.343684
4.376581,20.381575
4.378655,20.431827
4.375818,20.502944
4.375942,20.528526
4.37389,20.57875
4.375753,20.65025
4.37447,20.703443
4.375554,20.728852
4.374823,20.778915
4.373847,20.82913
4.373549,20.893022
4.374053,20.928987
4.372842,20.978806
4.371882,21.030418
4.370622,21.100468
4.371024,21.135974
4.370706,21.186143
4.371953,21.236255
4.370335,21.286267
4.365819,21.336472
4.365131,21.407086
4.361911,21.454007
1.784459,21.479201
1.696066,21.555536
1.708839,21.593739
6.942031,21.63129
1.725405,21.681032
6.894302,21.731498
6.885345,21.781184
1.696955,21.831097
6.835172,21.881094
6.814566,21.931027
1.901958,21.981822
6.75815,22.052753
6.703161,22.109695
6.6688,22.136131
6.640833,22.185997
5.749209,22.263563
5.362112,22.289613
6.386207,22.365846
6.284875,22.391832
6.306711,22.442646
6.177878,22.514429
6.07448,22.54013
6.012202,22.590447
6.018795,22.642131
5.513261,22.690379
5.89983,22.761585
5.853359,22.78757
4.316093,22.837656
5.865906,22.888557
5.790444,22.948616
5.793442,22.986922
1.497024,23.060025
1.49224,23.088388
3.386844,23.135565
3.433133,23.185792
3.009757,23.23605
2.953963,23.308626
2.919244,23.348862
3.494709,23.413893
2.914342,23.440131
3.131299,23.490766
3.082034,23.541258
3.413579,23.590475
2.902485,23.659451
2.855964,23.685192
2.674261,23.75663
2.651988,23.792655
3.135923,23.842436
2.762409,23.892843
2.939562,23.94431
2.944118,23.993464
2.99165,24.067775
2.86975,24.094547
2.627721,24.143728
2.557925,24.195211
2.759834,24.246967
2.797357,24.295433
2.335861,24.349272
2.435681,24.393613
2.138745,24.444454
2.090684,24.51485
2.029357,24.543411
1.92518,24.613404
1.862483,24.639302
1.790809,24.689063
1.743825,24.760954
1.681159,24.78661
1.612877,24.838692
1.573312,24.901131
1.517918,24.954535
1.463168,24.99919
1.396887,25.059443
1.363795,25.096857
1.316857,25.168003
1.268193,25.194392
1.222695,25.266538
1.179072,25.292378
3.570184,25.343143
3.59259,25.412027
3.620886,25.452045
3.64294,25.497489
3.678175,25.561417
3.717368,25.597491
3.76282,25.670715
3.810192,25.704335
3.872806,25.758846
3.909082,25.811968
3.957711,25.847202
4.024155,25.917881
4.074332,25.943165
4.147051,26.013406
4.21649,26.064671
4.289363,26.090377
4.372289,26.148685
4.44705,26.207456
4.549562,26.258981
4.633048,26.31587
4.716484,26.344568
4.79939,26.394703
4.881884,26.446673
4.962083,26.496113
5.042811,26.559259
5.129533,26.594839
5.20449,26.660293
5.271675,26.721546
5.354597,26.74692
5.417078,26.819246
5.490702,26.854577
5.56235,26.925498
5.648046,26.951534
5.707722,27.021224
5.774844,27.048957
5.858914,27.096798
5.919506,27.167262
5.991519,27.221536
5.674522,27.261764
5.688838,27.300365
5.695836,27.350835
5.752211,27.399986
5.654869,27.469599
5.876442,27.506133
5.921667,27.555713
5.972094,27.605563
6.020259,27.660934
6.120409,27.722909
