position_error,time
4.380629,20.359652
4.377936,20.429563
4.375865,20.455079
4.377955,20.505072
4.375707,20.567309
4.375302,20.611993
4.374811,20.655018
4.375186,20.705187
4.374587,20.77697
4.374979,20.81005
4.375447,20.873755
4.373615,20.909211
4.372775,20.959702
4.372896,21.009228
4.373186,21.059323
4.371286,21.109426
4.371088,21.159492
4.36925,21.209398
4.370519,21.259387
4.370504,21.309367
4.367948,21.359737
4.36465,21.409226
4.361968,21.480078
1.752382,21.505278
1.698013,21.555996
2.637362,21.607383
6.941959,21.655651
1.726926,21.706761
1.72376,21.774529
6.947067,21.824195
6.866013,21.868926
6.937208,21.910366
6.902641,21.960981
3.875881,22.012048
6.889613,22.081641
6.850074,22.116991
6.748775,22.175685
6.725949,22.230687
5.348903,22.256583
5.93899,22.329499
6.483231,22.355762
6.457417,22.415962
6.433596,22.485549
6.079222,22.528258
6.356544,22.584158
6.296742,22.612994
6.35251,22.65999
5.157899,22.709836
6.167812,22.759992
6.130777,22.831658
5.647985,22.857623
5.954418,22.907129
5.934586,22.957418
5.892705,23.006771
5.812312,23.070362
5.738599,23.107617
3.31133,23.157327
3.099879,23.207502
3.070401,23.268036
3.062244,23.307572
3.270883,23.357463
2.831768,23.417726
2.943844,23.45777
2.809843,23.518323
2.869301,23.592379
2.851084,23.616391
2.950146,23.668486
3.064843,23.740546
3.012163,23.777538
2.493903,23.820983
2.464427,23.867179
2.301034,23.916888
2.366293,23.967554
2.393977,24.018022
2.241945,24.067028
2.216457,24.119132
1.847405,24.166383
1.805609,24.235307
1.91,24.261029
1.493163,24.311195
1.91427,24.383473
2.079385,24.419729
2.34955,24.471202
2.360721,24.524399
2.371686,24.574521
2.349431,24.619747
2.35438,24.67086
2.356616,24.742507
2.373839,24.771577
2.380588,24.842587
2.385433,24.872999
2.410653,24.918403
2.422981,24.973237
2.442465,25.023596
2.447585,25.090495
2.478484,25.124385
2.490912,25.166375
2.509388,25.228554
2.520271,25.273022
2.538008,25.332974
0.402918,25.368739
0.406215,25.439806
0.414587,25.482048
0.414508,25.517596
0.425249,25.588795
0.431993,25.624344
0.449162,25.664996
0.46183,25.714764
0.480664,25.782406
0.478541,25.818217
0.481236,25.888749
0.492762,25.914165
0.497387,25.98509
0.516135,26.027403
0.524075,26.088125
0.535709,26.113725
0.554444,26.164572
0.565185,26.234485
0.580735,26.269919
0.599157,26.344514
0.609481,26.372289
0.620394,26.426776
0.626182,26.497553
0.629964,26.524964
0.642416,26.596766
0.658177,26.635107
0.662069,26.672457
0.669054,26.724079
0.680964,26.792501
0.680292,26.843317
0.685475,26.868866
0.695266,26.933234
0.716872,26.981371
0.716031,27.050092
0.723188,27.075807
0.756007,27.136251
0.75846,27.175513
0.764479,27.247214
0.217057,27.273531
0.128724,27.323225
0.161306,27.397941
0.222113,27.423735
0.26728,27.474212
0.34254,27.524196
0.308679,27.574512
0.268289,27.62422
0.093054,27.684257
0.089674,27.726043
0.030063,27.775065
0.010475,27.824087
0.05227,27.884007
0.09465,27.933931
0.037419,27.975777
0.024325,28.057882
0.033779,28.077956
0.048924,28.134381
0.006106,28.174377
0.022914,28.256272
0.065161,28.282759
0.040267,28.347856
0.093076,28.384059
0.074486,28.453341
0.093315,28.479474
0.077406,28.529206
0.01592,28.581056
0.044953,28.630172
0.059288,28.681304
0.043218,28.731251
0.100837,28.780797
0.109864,28.831601
0.136914,28.880625
0.130468,28.929308
0.131214,28.98233
0.132868,29.030552
0.124567,29.081461
0.122037,29.130389
0.124509,29.210752
0.121029,29.236556
0.125724,29.296509
0.119011,29.33693
0.11165,29.410203
0.123639,29.443846
0.118267,29.507888
0.122868,29.540651
0.124182,29.606859
0.018177,29.632772
0.011308,29.703742
0.081116,29.739527
0.073925,29.790639
0.056733,29.862113
0.023989,29.888431
0.035906,29.961772
0.18861,29.987457
0.104877,30.037692
0.055316,30.101317
0.325529,30.139585
0.324465,30.208302
0.398602,30.236615
0.419727,30.304964
0.442803,30.340528
0.475154,30.402765
0.499022,30.440641
0.515028,30.492917
0.531913,30.560279
0.461486,30.586609
0.549549,30.650133
0.450843,30.686334
0.587606,30.736241
0.505869,30.810008
0.447471,30.838264
0.21377,30.902869
0.499119,30.93992
0.540669,30.991307
0.557133,31.040802
0.536745,31.08855
0.443508,31.138559
0.245141,31.18867
0.250787,31.239497
0.553673,31.288972
0.562746,31.340749
0.567938,31.409242
0.27231,31.444987
0.280077,31.485419
0.26585,31.568064
0.241926,31.594168
0.244792,31.644027
0.25456,31.694088
0.254538,31.764403
0.174416,31.790273
0.186848,31.84051
0.221736,31.913176
0.218301,31.938897
0.156156,32.012151
0.134108,32.038077
0.125661,32.08904
0.151949,32.158933
0.157665,32.195399
0.171262,32.250386
0.105054,32.294636
0.10368,32.364483
0.11589,32.390272
