position_error,time
4.380629,20.287693
4.378581,20.338146
4.376581,20.411783
4.378655,20.437391
4.375818,20.487314
4.375942,20.554316
4.37389,20.58984
4.375753,20.639714
4.37447,20.689836
4.375554,20.742524
4.374823,20.789941
4.373847,20.839774
4.373549,20.890016
4.374053,20.961413
4.372842,20.987066
4.371882,21.037298
4.370622,21.086945
4.371024,21.136997
4.370706,21.187057
4.371953,21.236924
4.370335,21.286932
4.365819,21.338268
4.365131,21.414082
4.361911,21.439551
1.786893,21.489774
1.693421,21.539761
2.951297,21.589742
6.940137,21.641027
1.725103,21.689797
6.899828,21.739701
6.886109,21.789693
1.69689,21.841426
6.836939,21.890152
6.816357,21.939746
1.957923,22.00133
6.762262,22.039716
6.717741,22.090284
6.674378,22.139648
6.648709,22.18996
5.619562,22.263312
5.563241,22.293631
5.489291,22.339712
6.012131,22.389405
6.295967,22.440259
6.111835,22.489286
6.072999,22.562078
6.004833,22.587836
6.060647,22.638094
5.884375,22.687786
5.893587,22.738308
5.445557,22.788143
4.353921,22.838063
5.849635,22.887618
5.653782,22.93714
5.6085,22.987645
1.552703,23.03823
1.542488,23.09205
3.386844,23.137586
3.326776,23.194666
3.240239,23.237872
3.136309,23.287938
3.306327,23.361278
2.812112,23.398384
3.138583,23.449486
3.296107,23.498237
2.563511,23.54846
2.664651,23.599214
3.056135,23.670501
3.012818,23.705464
2.761884,23.746337
2.511623,23.796927
2.86603,23.84655
2.599381,23.916942
2.530521,23.947341
2.935995,23.992756
2.781141,24.064543
2.723237,24.090401
2.765763,24.162629
2.479636,24.198856
2.449286,24.249231
2.557645,24.298972
2.465188,24.348658
2.400811,24.411868
2.274697,24.470536
2.218282,24.497721
2.149431,24.548743
2.034607,24.60349
1.965061,24.658654
1.882821,24.696465
1.826585,24.746393
1.753919,24.797007
1.675638,24.84842
1.625093,24.898281
1.560946,24.94664
1.495062,25.01826
1.417462,25.043861
1.371841,25.095773
1.313194,25.151867
1.25408,25.195461
1.201195,25.244831
1.147826,25.316487
1.105477,25.342275
4.966641,25.392453
5.020529,25.471045
5.064613,25.496269
5.122081,25.547133
5.164228,25.61005
5.214603,25.648393
5.27014,25.699755
5.316684,25.746651
5.369466,25.798613
5.417645,25.867764
5.4708,25.892961
5.533217,25.94455
5.596295,26.02587
5.658091,26.05136
5.721911,26.102273
5.795421,26.157061
5.852692,26.219458
5.896194,26.257998
5.959243,26.324906
6.025439,26.350664
6.087973,26.401877
6.155744,26.453529
6.215847,26.503407
6.269112,26.551277
6.310052,26.604731
6.368719,26.650963
6.411606,26.723294
6.454317,26.752252
6.505837,26.808672
6.556405,26.880585
6.601507,26.906261
6.637757,26.965176
6.691081,27.006034
6.725542,27.060692
6.754187,27.122316
6.802828,27.160418
6.849452,27.227749
5.606036,27.253057
5.566023,27.325384
5.506495,27.351892
5.586084,27.402996
5.554187,27.454671
5.025831,27.533979
5.069862,27.567317
5.76449,27.609723
5.862375,27.664528
5.955187,27.712986
6.017795,27.760186
6.039032,27.810193
6.063735,27.861781
6.069925,27.909707
6.105139,27.966066
6.114823,28.010191
6.117735,28.059939
6.137674,28.130558
6.152174,28.15643
6.163129,28.206783
6.156004,28.273619
6.204472,28.309451
6.192051,28.359509
6.217424,28.412354
6.199622,28.462449
6.16864,28.512902
6.217585,28.560426
6.236347,28.632677
6.170373,28.65935
6.188544,28.708512
6.184115,28.75866
6.166844,28.831681
6.172656,28.857684
6.182223,28.907577
6.182358,28.958507
6.177659,29.029198
6.17941,29.064922
6.172961,29.12865
6.165066,29.183685
6.156374,29.210271
6.1483,29.269867
6.132151,29.320213
6.109658,29.370651
6.102149,29.428609
6.07795,29.469569
6.058081,29.523725
6.702775,29.569389
6.69566,29.621701
6.712266,29.669211
6.634717,29.719669
6.578074,29.769415
6.553439,29.823161
6.554162,29.870729
6.544754,29.919474
6.72348,29.969544
6.62877,30.019368
6.580874,30.070144
6.617613,30.121214
6.534254,30.185062
6.52279,30.220697
6.479332,30.271057
6.310357,30.320775
6.267055,30.373342
6.209821,30.422361
2.660172,30.471215
3.916306,30.522943
3.773361,30.571259
3.694121,30.622753
2.924871,30.674188
1.967693,30.720807
3.14372,30.77116
3.212243,30.822528
2.716861,30.870749
2.652063,30.923371
2.801108,30.97485
2.693703,31.036999
2.584855,31.093153
1.921037,31.122628
2.268902,31.169328
1.999952,31.239784
2.0381,31.26563
1.939415,31.316444
1.840773,31.366376
1.504443,31.428084
1.436545,31.468905
1.504097,31.517474
1.290573,31.565942
1.203992,31.618888
1.116579,31.677757
1.04459,31.747564
1.132689,31.773458
0.848166,31.827164
0.777728,31.874343
0.889599,31.923602
0.880599,31.976953
0.772443,32.039043
0.671844,32.075043
0.362928,32.124737
0.733476,32.175183
0.902638,32.224884
1.004766,32.289385
1.086254,32.325184
1.210399,32.375324
1.283895,32.425609
1.413276,32.475296
1.507278,32.528151
1.629148,32.575411
1.825968,32.625035
1.950515,32.674936
2.049064,32.739608
1.981996,32.775298
2.209112,32.825319
2.362039,32.875526
2.468393,32.950031
2.462627,32.977277
2.640055,33.030572
2.73634,33.077027
2.824044,33.12656
2.979743,33.175782
3.083236,33.23455
3.126254,33.275869
3.3053,33.325968
3.417509,33.37673
3.499285,33.448564
3.570542,33.474669
3.743147,33.524217
3.837789,33.588629
3.886619,33.624313
3.672197,33.689034
3.928428,33.724705
3.11463,33.774911
3.189165,33.830989
3.215946,33.874817
3.285213,33.946934
3.350127,33.972624
3.410999,34.024199
3.479097,34.095438
3.53336,34.126453
3.599179,34.188786
3.665108,34.224713
3.728519,34.276991
3.794885,34.327734
3.868751,34.37821
3.923586,34.443412
3.990915,34.479643
4.059895,34.548467
4.122371,34.574398
4.196471,34.645619
4.249869,34.691792
4.307666,34.753717
4.367147,34.795808
4.439877,34.831455
4.488589,34.882824
4.548042,34.934459
4.615335,35.003723
4.656126,35.029445
4.708103,35.080346
4.768638,35.147111
4.807522,35.172829
4.87015,35.256047
4.901174,35.281957
4.937594,35.331897
4.972694,35.400339
5.036063,35.426176
5.066069,35.492681
5.099001,35.528575
5.129843,35.57951
5.160441,35.634111
5.189813,35.702668
5.220248,35.728398
7.178224,35.778455
6.937575,35.828769
5.384909,35.878472
3.682378,35.95103
3.695639,35.97689
0.675634,36.026695
0.695512,36.081367
0.704266,36.148827
0.673499,36.184712
0.694326,36.236149
0.363274,36.28452
0.374064,36.353137
0.354463,36.378822
0.385273,36.450566
0.387514,36.476175
0.385346,36.547969
0.409777,36.583594
0.471817,36.633653
0.523941,36.684018
0.506496,36.755495
0.486823,36.781279
0.491057,36.831872
0.464971,36.882387
0.452464,36.937245
0.462571,36.981547
0.441271,37.031827
0.428416,37.082415
0.450604,37.131168
0.442274,37.195386
0.450636,37.231413
0.444853,37.281282
0.441527,37.331455
0.420089,37.381193
0.403027,37.431209
0.39938,37.481473
0.41233,37.531544
0.356985,37.581933
0.354211,37.6315
0.335583,37.684937
0.336518,37.736245
0.322981,37.781622
0.308286,37.831268
0.296878,37.881203
0.287529,37.936468
0.276502,37.981933
0.26183,38.034444
0.248093,38.086968
0.243865,38.151589
0.223382,38.18733
0.216582,38.260212
0.213105,38.28855
0.210216,38.335901
0.228602,38.413652
0.219006,38.43527
0.223354,38.479733
0.213653,38.564793
0.205458,38.580807
0.219149,38.63163
0.207873,38.682529
0.204718,38.735969
0.312058,38.780576
0.286985,38.830765
0.313645,38.880585
0.334199,38.930638
0.354393,38.980588
0.342441,39.034896
0.340861,39.080515
0.348184,39.155589
0.352141,39.181526
0.370287,39.231414
0.355812,39.281595
0.055697,39.353014
0.145307,39.407897
0.155779,39.438996
0.458467,39.502781
0.385147,39.538731
0.381196,39.58864
0.381645,39.638745
0.386359,39.689182
0.360996,39.739345
0.389866,39.810957
0.393407,39.836649
0.298824,39.908294
0.31451,39.938783
0.210707,39.984139
0.20122,40.03405
