position_error,time
4.380629,20.292429
4.378581,20.338799
4.376581,20.384396
4.378655,20.458161
4.375818,20.483945
4.375942,20.533906
4.37389,20.583897
4.375753,20.633759
4.37447,20.683985
4.375554,20.734168
4.374823,20.783985
4.373847,20.833708
4.373549,20.88419
4.374053,20.933732
4.372842,20.983945
4.371882,21.035645
4.370622,21.084648
4.371024,21.133867
4.370706,21.183756
4.371953,21.234174
4.370335,21.283823
4.365819,21.333832
4.365131,21.383936
4.361911,21.433951
1.783159,21.514715
1.69681,21.561764
4.814975,21.611018
6.943878,21.6635
1.725152,21.718639
6.906489,21.767622
6.899244,21.820783
1.698299,21.863494
6.844427,21.916382
6.821564,21.968992
1.954938,22.010993
6.760748,22.05984
6.716686,22.112023
6.671405,22.160975
6.645929,22.204559
6.408037,22.240472
5.459544,22.292482
5.671696,22.363722
3.581695,22.41093
5.080339,22.444304
3.491275,22.496716
4.224822,22.54223
3.126876,22.594541
5.308452,22.659331
5.093478,22.693042
4.138989,22.744557
2.999675,22.795066
2.830213,22.838451
5.885484,22.884773
5.836516,22.939018
5.85533,22.985285
5.718635,23.036126
5.677207,23.085189
5.651064,23.144055
5.578362,23.185217
3.432394,23.235633
3.719818,23.287977
3.467835,23.335708
3.463343,23.396135
3.243392,23.436189
2.600799,23.485187
3.067986,23.535557
2.625754,23.585135
2.722743,23.635539
2.251207,23.708009
2.19948,23.75478
2.570987,23.80334
2.622006,23.843994
2.34302,23.917025
2.394347,23.943426
2.675919,23.993114
2.483825,24.043133
2.275858,24.093291
2.567291,24.143002
2.021738,24.216216
2.189292,24.244456
2.257591,24.292158
2.206252,24.345001
2.253382,24.392496
2.518389,24.462334
2.508908,24.490538
2.492522,24.542588
2.451014,24.589504
2.441109,24.638228
2.421192,24.691659
2.417684,24.76289
2.409627,24.78911
2.397242,24.868128
2.399643,24.897938
2.39423,24.944857
2.394578,25.002852
2.387503,25.044353
2.395944,25.096121
2.396031,25.146469
2.405299,25.195422
2.412824,25.247133
2.425741,25.316947
2.438762,25.349325
2.280165,25.392895
2.292997,25.464007
2.305563,25.494783
2.321947,25.540588
2.332953,25.620476
2.343493,25.646312
2.361201,25.720462
2.370886,25.758714
2.390609,25.796078
2.407321,25.873341
2.423796,25.893599
2.446458,25.955412
2.4643,25.991286
2.486954,26.062109
2.509769,26.098789
2.532525,26.14798
2.555336,26.219028
2.573829,26.244608
2.593146,26.305303
2.620723,26.363739
2.642202,26.401292
2.669746,26.451734
2.694337,26.506192
2.714169,26.549169
2.73175,26.603589
2.757021,26.671134
2.774041,26.707234
2.796057,26.747053
2.8177,26.796962
2.84023,26.868016
2.860033,26.90993
2.874557,26.974254
2.893453,26.999801
2.911911,27.057418
2.919682,27.126795
2.937453,27.152306
2.955633,27.224093
2.97042,27.25301
0.985603,27.30083
0.230221,27.372846
0.678818,27.415089
0.695404,27.450806
0.567858,27.523555
0.576461,27.549135
0.43307,27.599664
0.386394,27.659642
0.305398,27.71658
0.006345,27.752362
0.201978,27.802718
0.158854,27.853383
0.136328,27.902411
0.08522,27.966211
0.01124,28.002393
0.128809,28.052678
0.219749,28.102695
0.399511,28.153551
0.097004,28.20432
0.129824,28.252267
0.200212,28.327062
0.252055,28.356217
0.211458,28.40434
0.299881,28.463408
0.181946,28.512349
0.225413,28.553441
0.066709,28.60337
0.053151,28.668162
0.1328,28.714918
0.074639,28.771371
0.147984,28.829284
0.169266,28.855339
0.051813,28.93054
0.061829,28.959358
0.070921,29.008952
0.011156,29.071146
0.011943,29.118986
0.011508,29.178573
0.015338,29.214057
0.008447,29.283183
0.013633,29.308914
0.024108,29.360891
0.020845,29.429813
0.031245,29.469658
0.028481,29.531701
0.031838,29.557493
0.093874,29.607504
0.014778,29.673054
0.143054,29.708955
0.13971,29.780667
0.156276,29.810958
0.16121,29.866984
0.275511,29.916508
0.222379,29.987898
0.119579,30.035486
0.058481,30.071296
0.263196,30.111397
0.229328,30.161656
0.325456,30.213281
0.339288,30.261972
0.300677,30.311198
0.325128,30.361225
0.345631,30.41188
0.403206,30.482399
0.449547,30.523998
0.139326,30.572702
0.486529,30.610224
0.186038,30.683975
0.185561,30.710133
0.229495,30.782651
0.397892,30.814404
0.177578,30.878089
0.182993,30.919757
0.332651,30.95968
0.348591,31.02921
0.325578,31.074034
0.217,31.131963
0.057571,31.177788
0.037581,31.22014
0.371723,31.288846
0.372571,31.314675
0.364991,31.386525
0.082938,31.426355
0.091675,31.462725
0.155945,31.51273
0.108098,31.563021
0.105703,31.628361
0.218901,31.664213
0.221846,31.736071
0.127968,31.787993
0.152916,31.818782
0.16823,31.863899
0.167406,31.94235
0.065889,31.987738
0.081356,32.016484
0.073897,32.065722
0.037031,32.142552
0.041233,32.168686
0.219093,32.23572
0.179831,32.271495
0.091376,32.32146
0.097423,32.387478
0.122765,32.416983
0.094594,32.463389
0.09933,32.513474
0.10748,32.590628
0.075593,32.62486
0.070176,32.666243
0.080805,32.716797
0.13424,32.766413
0.044714,32.816447
0.063695,32.874128
0.057979,32.938095
0.016704,32.987274
0.040434,33.023783
0.066806,33.081668
0.037517,33.123997
0.050194,33.182683
0.046458,33.224147
0.041587,33.273814
0.111901,33.324445
0.081386,33.382504
0.07813,33.424592
0.058745,33.473911
0.103828,33.527268
0.049975,33.573845
0.041261,33.627218
0.044404,33.691257
0.065808,33.724569
0.085738,33.767001
0.05824,33.817398
0.109024,33.886975
0.101918,33.923064
0.111515,33.986051
0.116821,34.022951
0.126318,34.094306
0.115488,34.120069
0.116693,34.170134
0.116576,34.220158
0.115103,34.292634
0.112752,34.329532
0.114321,34.389928
0.113846,34.425664
0.110869,34.496462
0.121301,34.522797
0.120902,34.572184
0.134712,34.644208
0.135003,34.676343
0.129087,34.719949
0.126534,34.770285
0.1322,34.833987
0.132888,34.870465
0.142265,34.921192
0.143034,34.992646
0.136408,35.023517
0.137479,35.068303
0.14835,35.140538
0.141901,35.181409
0.152161,35.250695
0.150332,35.288527
0.155013,35.326387
0.157881,35.395668
0.193825,35.439309
0.198967,35.476949
0.198599,35.534501
0.197755,35.57509
0.187216,35.641643
0.190361,35.693375
0.183112,35.729236
0.130987,35.787509
0.12821,35.837723
0.187467,35.885267
0.039448,35.938706
0.088101,35.980049
0.071453,36.033788
0.112687,36.087065
0.112931,36.142472
0.086199,36.179223
0.086358,36.237793
0.087254,36.30016
0.081119,36.34578
0.039049,36.391339
0.0706,36.428552
0.0658,36.49126
0.098431,36.527031
0.071787,36.585146
0.095646,36.627268
0.089003,36.685085
0.048919,36.726869
0.041775,36.777061
0.052307,36.829154
0.05177,36.876875
0.02607,36.9343
0.041927,36.98488
0.039482,37.026997
0.096042,37.087612
0.081295,37.134017
0.081654,37.185837
0.083424,37.23557
0.106389,37.284476
0.106847,37.349023
0.109685,37.380096
0.118448,37.432552
0.099718,37.480435
0.050086,37.533305
0.090422,37.597698
0.10912,37.638429
0.122455,37.674556
0.142617,37.724213
0.091148,37.774508
0.133438,37.832529
0.031525,37.886256
0.035034,37.924256
0.033291,37.976979
0.03365,38.031315
0.030413,38.096241
0.012821,38.147956
0.044462,38.184401
0.047869,38.233739
0.036509,38.285113
0.038128,38.358371
0.009395,38.384189
0.01441,38.434389
0.013304,38.507111
0.015883,38.544936
0.019467,38.602855
0.024157,38.628631
0.029571,38.679483
0.029657,38.752339
0.028983,38.784655
0.014682,38.834792
0.109195,38.878046
0.074908,38.928031
0.078325,38.993362
0.020153,39.029358
0.096889,39.079129
0.092753,39.145919
0.054902,39.181901
0.061742,39.231698
0.071998,39.28169
0.046718,39.331665
0.119501,39.381681
0.089518,39.44138
0.076053,39.488807
0.073438,39.537186
0.083403,39.588453
0.058474,39.631823
0.062427,39.695206
0.046455,39.731818
0.118476,39.781695
0.089609,39.842363
0.095062,39.881878
0.084535,39.931702
0.061155,39.981745
0.028836,40.041288
0.022437,40.090389
0.034357,40.131731
0.029244,40.181626
0.011089,40.23314
0.044261,40.299872
0.047151,40.335643
0.048147,40.40915
0.039102,40.436153
0.066329,40.498084
0.074087,40.548524
0.080452,40.585765
0.091198,40.65024
0.120885,40.706705
0.137174,40.747642
0.151599,40.783445
0.170732,40.855635
0.185941,40.894265
0.225383,40.940574
0.241293,40.999488
0.238286,41.035772
0.267137,41.106179
0.290358,41.135186
0.301324,41.184982
0.314928,41.232332
0.324067,41.282022
0.34471,41.352276
0.332161,41.409374
0.342951,41.435102
0.355041,41.507403
0.371505,41.553271
0.390372,41.606118
0.396917,41.636211
0.413302,41.713973
0.422517,41.755721
0.434182,41.791618
0.451861,41.841596
0.493989,41.913332
0.536254,41.941619
0.512951,41.990189
0.515036,42.062366
0.568707,42.09468
0.57785,42.15775
0.589543,42.202892
0.599099,42.253665
0.61585,42.308168
0.651119,42.3338
0.64458,42.405257
0.656736,42.449409
0.673761,42.490942
0.693002,42.542297
0.752079,42.592262
0.766425,42.64295
0.77962,42.694156
0.792931,42.745424
0.794781,42.795483
0.810088,42.841395
0.819239,42.891635
0.835617,42.963357
0.849588,42.99548
0.324664,43.03899
0.328117,43.110115
0.358893,43.153912
0.366716,43.189447
0.367266,43.261588
0.376612,43.288879
0.389941,43.337976
0.376081,43.408717
0.379763,43.44449
