position_error,time
4.380629,20.290658
4.378581,20.332407
4.376581,20.382372
4.378655,20.432431
4.375818,20.482684
4.375942,20.532807
4.37389,20.592453
4.375753,20.642739
4.37447,20.692794
4.375554,20.742594
4.374823,20.79342
4.373847,20.842529
4.373549,20.892583
4.374053,20.94323
4.372842,20.992508
4.371882,21.043243
4.370622,21.092738
4.371024,21.143141
4.370706,21.212188
4.371953,21.254459
4.370335,21.290069
4.365819,21.358511
4.365131,21.396119
4.361911,21.444226
1.786063,21.508403
1.700839,21.554398
4.602345,21.601526
6.944845,21.65578
1.724242,21.703118
6.888355,21.779903
6.882386,21.785579
6.871099,21.835893
1.691384,21.885504
6.817893,21.937574
6.78748,21.986373
6.767805,22.077185
6.714212,22.124755
6.673289,22.172023
6.643478,22.21363
5.458904,22.250682
4.49184,22.295434
4.708738,22.354653
3.651964,22.390669
4.613201,22.440605
3.575732,22.490454
4.481627,22.540453
4.435256,22.605362
4.278375,22.641299
3.467248,22.691078
3.990197,22.741177
3.191707,22.791195
3.17342,22.860784
3.861433,22.898611
5.872443,22.967261
5.857205,22.999961
5.764688,23.04338
5.71413,23.115058
5.688205,23.141083
5.601705,23.190814
3.432394,23.240863
3.694746,23.290733
3.05272,23.341205
3.331554,23.401659
2.901358,23.462549
3.148042,23.512436
3.077343,23.559695
3.148035,23.617338
3.108522,23.656289
2.550023,23.693164
2.956465,23.743136
2.877087,23.793112
2.825723,23.865303
3.223401,23.893698
2.138698,23.96249
2.644151,24.013569
2.231745,24.059642
2.407178,24.09972
2.381424,24.150311
2.386194,24.224281
2.127802,24.25821
2.143042,24.300118
2.120759,24.350063
2.324597,24.40098
2.104181,24.450838
2.060473,24.505557
2.005236,24.554752
1.910769,24.622867
1.857541,24.666963
1.793129,24.699087
1.748843,24.742706
1.694192,24.792631
1.633122,24.844714
1.593995,24.917166
1.545991,24.944133
1.496819,24.993796
1.441712,25.048702
1.413157,25.093024
1.379152,25.165907
1.341471,25.206834
1.307503,25.272894
1.278084,25.318084
1.254143,25.348352
4.636633,25.393596
4.686574,25.464754
4.729293,25.500301
4.783656,25.572633
4.823965,25.62075
4.871753,25.665677
4.922906,25.701494
4.964963,25.751495
5.018941,25.821485
5.064653,25.846873
5.109128,25.898818
5.170439,25.96521
5.224953,26.019892
5.282754,26.059424
5.341935,26.114735
5.412216,26.150347
