position_error,time
4.380629,20.283198
4.378581,20.33536
4.376581,20.385506
4.378655,20.43573
4.375818,20.485437
4.375942,20.536198
4.37389,20.585774
4.375753,20.635798
4.37447,20.686149
4.375554,20.736333
4.374823,20.786558
4.373847,20.835577
4.373549,20.907918
4.374053,20.933385
4.372842,20.983588
4.371882,21.033857
4.370622,21.098833
4.371024,21.155635
4.370706,21.181124
4.371953,21.231949
4.370335,21.2832
4.365819,21.334102
4.365131,21.383924
4.361911,21.438908
1.783436,21.497118
1.758209,21.547883
3.979124,21.595313
6.939977,21.654446
1.727829,21.701834
6.903366,21.761746
6.888444,21.820136
1.69747,21.866103
6.843162,21.915232
6.823671,21.968539
1.857995,22.012868
6.763306,22.060876
6.717556,22.109971
6.677345,22.161764
6.654694,22.206608
6.06319,22.264074
4.920376,22.313802
5.087654,22.339902
3.94116,22.405358
5.603347,22.441719
3.362799,22.491622
4.75504,22.564215
4.704661,22.600356
4.495476,22.64768
3.364166,22.690346
3.751584,22.74011
3.675352,22.790979
3.650466,22.861288
3.550333,22.887735
5.87296,22.936626
5.881227,23.006838
5.762134,23.050486
3.548081,23.112918
3.542181,23.138446
3.616032,23.196321
4.067211,23.246426
3.651747,23.299158
3.149773,23.338942
3.052401,23.411687
3.036382,23.437524
3.343626,23.487441
3.016555,23.53769
3.163485,23.587942
3.091216,23.658883
2.795926,23.694771
2.725448,23.744652
2.703322,23.808645
2.658252,23.844727
2.731479,23.894913
2.718086,23.944834
2.498421,23.994994
2.498237,24.044786
2.405,24.095429
2.389155,24.145295
2.14707,24.217661
2.101423,24.255873
2.458862,24.302364
2.269925,24.343982
2.35571,24.393701
2.182351,24.45825
2.172016,24.494516
2.152714,24.567739
2.10295,24.59356
2.091543,24.644355
2.070817,24.713597
2.068341,24.758773
2.056282,24.813484
2.044511,24.839347
2.048544,24.899802
2.044678,24.943675
2.046633,25.015194
2.045097,25.041114
2.056593,25.107308
2.063631,25.159612
2.076051,25.195392
2.091917,25.245753
2.108802,25.318987
2.126568,25.34482
1.774686,25.416324
1.841525,25.441999
1.898474,25.494384
1.963923,25.563577
2.034304,25.599264
2.0916,25.671392
2.159299,25.698238
2.245932,25.764725
2.285484,25.806219
2.345736,25.856136
2.426968,25.920054
2.472366,25.945623
2.54249,26.022627
2.609601,26.048676
2.67362,26.123063
2.748063,26.148808
2.814482,26.200408
2.914207,26.27233
2.988115,26.313624
3.056185,26.349711
3.118512,26.399848
3.177869,26.475373
